titulo,autor,ano,isbn,status
Dom Casmurro,Machado de Assis,1899,123456,Disponível
O Pequeno Principe,Antoine de Saint-Exupery,1943,789101,Emprestado
Amor em Roma,Sarah Adams,,,Disponível
A Hipótese do Amor,Ali Hazelwood,,,Disponível
Amor por engano,Lynn Painter,,,Disponível
Amor, teoricamente,Ali Hazelwood,,,Disponível
Apostando no amor,Lynn Painter,,,Disponível
As regras do jogo,Sarah Adams,,,Disponível
Assistente do Vilão,Hannah Nicole Maehrer,,,Disponível
Apenas amigos,Christina Lauren,,,Disponível
Em rota de Colisão,Bal Khabra,,,Disponível
Eu e esse meu coração,C C Hunter,,,Disponível
Lugar feliz,Emily Henry,,,Disponível
Melhor do que nos filmes,Lynn Painter,,,Disponível
Mil Vezes Amor,Lynn Painter,,,Disponível
Não é como nos filmes,Lynn Painter,,,Disponível
Patinando no amor,Lynn Painter,,,Disponível
Quebrando o gelo,Hannah Grace,,,Disponível
Querido coração acelerado,Karen Ferreira,,,Disponível
Sorte no Amor,Lynn Painter,,,Disponível
Táticas do amor,Sarah Adams,,,Disponível
Um Experimento de Amor em Nova York,Alyssa Cole,,,Disponível
Uma Farsa de Amor na Espanha,Elena Armas,,,Disponível
